date,tagesschau,tagesthemen
2007-09-02,https://www.tagesschau.de/multimedia/sendung/sendung12380.html,https://www.tagesschau.de/multimedia/sendung/sendung12382.html
2007-09-03,https://www.tagesschau.de/multimedia/sendung/sendung12408.html,https://www.tagesschau.de/multimedia/sendung/sendung12412.html
2007-09-04,https://www.tagesschau.de/multimedia/sendung/sendung12440.html,https://www.tagesschau.de/multimedia/sendung/sendung12442.html
2007-09-05,https://www.tagesschau.de/multimedia/sendung/sendung12470.html,https://www.tagesschau.de/multimedia/sendung/sendung12472.html
2007-09-06,https://www.tagesschau.de/multimedia/sendung/sendung12500.html,https://www.tagesschau.de/multimedia/sendung/sendung12502.html
2007-09-07,https://www.tagesschau.de/multimedia/sendung/sendung12530.html,https://www.tagesschau.de/multimedia/sendung/sendung12532.html
2007-09-08,https://www.tagesschau.de/multimedia/sendung/sendung12566.html,https://www.tagesschau.de/multimedia/sendung/sendung12550.html
2007-09-09,https://www.tagesschau.de/multimedia/sendung/sendung12570.html,https://www.tagesschau.de/multimedia/sendung/sendung12572.html
2007-09-10,https://www.tagesschau.de/multimedia/sendung/sendung12590.html,https://www.tagesschau.de/multimedia/sendung/sendung12592.html
2007-09-11,https://www.tagesschau.de/multimedia/sendung/sendung12608.html,https://www.tagesschau.de/multimedia/sendung/sendung12610.html
2007-09-12,https://www.tagesschau.de/multimedia/sendung/sendung12624.html,https://www.tagesschau.de/multimedia/sendung/sendung12640.html
2007-09-13,https://www.tagesschau.de/multimedia/sendung/sendung12642.html,https://www.tagesschau.de/multimedia/sendung/sendung12644.html
2007-09-14,https://www.tagesschau.de/multimedia/sendung/sendung12658.html,https://www.tagesschau.de/multimedia/sendung/sendung12660.html
2007-09-15,https://www.tagesschau.de/multimedia/sendung/ts82.html,https://www.tagesschau.de/multimedia/sendung/tt2.html
2007-09-16,https://www.tagesschau.de/multimedia/sendung/ts96.html,https://www.tagesschau.de/multimedia/sendung/tt4.html
2007-09-17,https://www.tagesschau.de/multimedia/sendung/ts124.html,https://www.tagesschau.de/multimedia/sendung/tt6.html
2007-09-18,https://www.tagesschau.de/multimedia/sendung/ts152.html,https://www.tagesschau.de/multimedia/sendung/tt8.html
2007-09-19,https://www.tagesschau.de/multimedia/sendung/ts178.html,https://www.tagesschau.de/multimedia/sendung/tt10.html
2007-09-20,https://www.tagesschau.de/multimedia/sendung/ts204.html,https://www.tagesschau.de/multimedia/sendung/tt30.html
2007-09-21,https://www.tagesschau.de/multimedia/sendung/ts232.html,
2007-09-22,https://www.tagesschau.de/multimedia/sendung/ts250.html,https://www.tagesschau.de/multimedia/sendung/tt34.html
2007-09-23,https://www.tagesschau.de/multimedia/sendung/ts268.html,https://www.tagesschau.de/multimedia/sendung/tt36.html
2007-09-24,https://www.tagesschau.de/multimedia/sendung/ts284.html,https://www.tagesschau.de/multimedia/sendung/tt38.html
2007-09-25,https://www.tagesschau.de/multimedia/sendung/ts298.html,https://www.tagesschau.de/multimedia/sendung/tt40.html
2007-09-26,https://www.tagesschau.de/multimedia/sendung/ts310.html,https://www.tagesschau.de/multimedia/sendung/tt56.html
2007-09-27,https://www.tagesschau.de/multimedia/sendung/ts322.html,https://www.tagesschau.de/multimedia/sendung/tt58.html
2007-09-28,https://www.tagesschau.de/multimedia/sendung/ts336.html,https://www.tagesschau.de/multimedia/sendung/tt60.html
2007-09-29,https://www.tagesschau.de/multimedia/sendung/ts354.html,https://www.tagesschau.de/multimedia/sendung/tt68.html
